muscle,muscle_family,muscle_function_class,components,fibre_profile,rationale
adductor_brevis,hip_adductors,mixed,,unknown,Hip adduction with a minor flexion component; no role in supporting body weight against gravity
adductor_longus,hip_adductors,mixed,,unknown,Hip adduction with a minor flexion component; not an antigravity extensor
adductor_magnus,hip_adductors,mixed,,unknown,Adductor with a posterior head that extends the hip; part extensor part adductor
anterior_thigh_compartment,knee_extensors,antigravity_extensor,quadriceps|sartorius,mixed,Compartment measurement dominated by the quadriceps
anterior_tibial_group,dorsiflexors,flexor,tibialis_anterior|extensor_digitorum_longus,slow_dominant,Ankle dorsiflexors; they lift the foot rather than support the body
biceps_femoris_long_head,knee_flexors,mixed,,unknown,Crosses two joints - extends the hip and flexes the knee
biceps_femoris_short_head,knee_flexors,flexor,,unknown,Crosses the knee only and flexes it; no hip extension role
extensor_digitorum_longus,dorsiflexors,flexor,,unknown,Extends the toes but dorsiflexes the ankle; the name refers to the toes not the ankle
flexor_digitorum_longus,plantar_flexors,antigravity_extensor,,unknown,Flexes the toes but plantarflexes the ankle; contributes to push-off and postural support
flexor_digitorum_with_tibialis_posterior,plantar_flexors,antigravity_extensor,flexor_digitorum_longus|tibialis_posterior,unknown,Deep posterior compartment measured as one block; both members plantarflex the ankle
flexor_hallucis_longus,plantar_flexors,antigravity_extensor,,unknown,Flexes the great toe but plantarflexes the ankle
gastrocnemius_lateralis,plantar_flexors,antigravity_extensor,,mixed,Biarticular plantarflexor loaded during standing and walking
gastrocnemius_medialis,plantar_flexors,antigravity_extensor,,mixed,Biarticular plantarflexor loaded during standing and walking
gastrocnemius_total,plantar_flexors,antigravity_extensor,gastrocnemius_medialis|gastrocnemius_lateralis,mixed,Both gastrocnemius heads reported as one value
gluteals,hip_extensors,mixed,gluteus_maximus|gluteus_medius|gluteus_minimus,unknown,Reported as one block; mixes the hip extensor with the two abductors
gluteus_maximus,hip_extensors,antigravity_extensor,,unknown,Principal hip extensor; resists trunk flexion against gravity in stance and stair climbing
gluteus_medius,hip_abductors,mixed,,unknown,Frontal-plane pelvic stabiliser rather than an extensor
gluteus_minimus,hip_abductors,mixed,,unknown,Frontal-plane pelvic stabiliser rather than an extensor
gracilis,hip_adductors,mixed,,unknown,Adducts the hip and assists knee flexion; crosses two joints in neither an extensor role
hamstrings,knee_flexors,mixed,biceps_femoris_long_head|biceps_femoris_short_head|semimembranosus|semitendinosus,unknown,Group value; the biarticular members extend the hip while all of them flex the knee
iliopsoas,hip_flexors,flexor,,unknown,Principal hip flexor; unloaded rather than loaded by upright stance
lateral_hamstrings,knee_flexors,mixed,biceps_femoris_long_head|biceps_femoris_short_head,unknown,Group value for the two biceps femoris heads
lumbar_erector_spinae,trunk_extensors,antigravity_extensor,,unknown,Spinal extensor that holds the trunk upright; antigravity but not lower limb
medial_hamstrings,knee_flexors,mixed,semimembranosus|semitendinosus,unknown,Group value for the two medial hamstrings
multifidus,trunk_extensors,antigravity_extensor,,slow_dominant,Deep segmental spinal extensor and postural stabiliser; antigravity but not lower limb
obturator_externus,hip_rotators,mixed,,unknown,Deep external rotator and joint stabiliser
obturator_internus,hip_rotators,mixed,,unknown,Deep external rotator and joint stabiliser
