ID,Group,Statistic,Component,Unit,Test,Value
1,Ctrl,Mean,Tissue,g,Pre,9225.51
2,Ctrl,Mean,Tissue,g,Test 1,9558.03
3,Ctrl,Mean,Tissue,g,Test 2,9438.37
4,Ctrl,Mean,Tissue,g,Test 3,9416.72
5,Ctrl,Mean,Tissue,g,Test 4,9400.88
6,Ctrl,Mean,Tissue,g,Post,9398.97
7,Ctrl,SD,Tissue,g,Pre,1803.50
8,Ctrl,SD,Tissue,g,Test 1,4268.11
9,Ctrl,SD,Tissue,g,Test 2,4204.12
10,Ctrl,SD,Tissue,g,Test 3,4211.13
11,Ctrl,SD,Tissue,g,Test 4,4223.52
12,Ctrl,SD,Tissue,g,Post,1825.34
13,Ctrl,SEM,Tissue,g,Pre,543.78
14,Ctrl,SEM,Tissue,g,Test 1,1286.88
15,Ctrl,SEM,Tissue,g,Test 2,1267.59
16,Ctrl,SEM,Tissue,g,Test 3,1269.70
17,Ctrl,SEM,Tissue,g,Test 4,1273.44
18,Ctrl,SEM,Tissue,g,Post,550.36
19,Exer,Mean,Tissue,g,Pre,8953.51
20,Exer,Mean,Tissue,g,Test 1,9087.46
21,Exer,Mean,Tissue,g,Test 2,9027.62
22,Exer,Mean,Tissue,g,Test 3,9052.56
23,Exer,Mean,Tissue,g,Test 4,9153.42
24,Exer,Mean,Tissue,g,Post,9091.50
25,Exer,SD,Tissue,g,Pre,1626.00
26,Exer,SD,Tissue,g,Test 1,1666.88
27,Exer,SD,Tissue,g,Test 2,1706.14
28,Exer,SD,Tissue,g,Test 3,2717.75
29,Exer,SD,Tissue,g,Test 4,2620.82
30,Exer,SD,Tissue,g,Post,1672.86
31,Exer,SEM,Tissue,g,Pre,373.03
32,Exer,SEM,Tissue,g,Test 1,382.41
33,Exer,SEM,Tissue,g,Test 2,391.42
34,Exer,SEM,Tissue,g,Test 3,623.50
35,Exer,SEM,Tissue,g,Test 4,601.26
36,Exer,SEM,Tissue,g,Post,383.78
37,FLY,Mean,Tissue,g,Pre,8864.60
38,FLY,Mean,Tissue,g,Test 1,8952.08
39,FLY,Mean,Tissue,g,Test 2,8918.57
40,FLY,Mean,Tissue,g,Test 3,8899.60
41,FLY,Mean,Tissue,g,Test 4,9039.27
42,FLY,Mean,Tissue,g,Post,8869.55
43,FLY,SD,Tissue,g,Pre,1469.91
44,FLY,SD,Tissue,g,Test 1,1503.13
45,FLY,SD,Tissue,g,Test 2,1508.44
46,FLY,SD,Tissue,g,Test 3,1593.05
47,FLY,SD,Tissue,g,Test 4,1749.53
48,FLY,SD,Tissue,g,Post,1637.47
49,FLY,SEM,Tissue,g,Pre,519.69
50,FLY,SEM,Tissue,g,Test 1,531.44
51,FLY,SEM,Tissue,g,Test 2,533.31
52,FLY,SEM,Tissue,g,Test 3,563.23
53,FLY,SEM,Tissue,g,Test 4,618.55
