ID,Group,Statistic,Ratio Type,Test,Value
1,Ctrl,Mean,Trunk/Total,Pre,0.51
2,Ctrl,Mean,Trunk/Total,Test 1,0.51
3,Ctrl,Mean,Trunk/Total,Test 2,0.51
4,Ctrl,Mean,Trunk/Total,Test 3,0.51
5,Ctrl,Mean,Trunk/Total,Test 4,0.51
6,Ctrl,Mean,Trunk/Total,Post,0.52
7,Ctrl,SD,Trunk/Total,Pre,0.06
8,Ctrl,SD,Trunk/Total,Test 1,0.21
9,Ctrl,SD,Trunk/Total,Test 2,0.21
10,Ctrl,SD,Trunk/Total,Test 3,0.21
11,Ctrl,SD,Trunk/Total,Test 4,0.21
12,Ctrl,SD,Trunk/Total,Post,0.05
13,Ctrl,SEM,Trunk/Total,Pre,0.02
14,Ctrl,SEM,Trunk/Total,Test 1,0.06
15,Ctrl,SEM,Trunk/Total,Test 2,0.06
16,Ctrl,SEM,Trunk/Total,Test 3,0.06
17,Ctrl,SEM,Trunk/Total,Test 4,0.06
18,Ctrl,SEM,Trunk/Total,Post,0.01
19,Exer,Mean,Trunk/Total,Pre,0.47
20,Exer,Mean,Trunk/Total,Test 1,0.47
21,Exer,Mean,Trunk/Total,Test 2,0.47
22,Exer,Mean,Trunk/Total,Test 3,0.46
23,Exer,Mean,Trunk/Total,Test 4,0.46
24,Exer,Mean,Trunk/Total,Post,0.48
25,Exer,SD,Trunk/Total,Pre,0.07
26,Exer,SD,Trunk/Total,Test 1,0.07
27,Exer,SD,Trunk/Total,Test 2,0.08
28,Exer,SD,Trunk/Total,Test 3,0.13
29,Exer,SD,Trunk/Total,Test 4,0.13
30,Exer,SD,Trunk/Total,Post,0.08
31,Exer,SEM,Trunk/Total,Pre,0.02
32,Exer,SEM,Trunk/Total,Test 1,0.02
33,Exer,SEM,Trunk/Total,Test 2,0.02
34,Exer,SEM,Trunk/Total,Test 3,0.03
35,Exer,SEM,Trunk/Total,Test 4,0.03
36,Exer,SEM,Trunk/Total,Post,0.02
37,FLY,Mean,Trunk/Total,Pre,0.49
38,FLY,Mean,Trunk/Total,Test 1,0.48
39,FLY,Mean,Trunk/Total,Test 2,0.49
40,FLY,Mean,Trunk/Total,Test 3,0.49
41,FLY,Mean,Trunk/Total,Test 4,0.49
42,FLY,Mean,Trunk/Total,Post,0.49
43,FLY,SD,Trunk/Total,Pre,0.06
44,FLY,SD,Trunk/Total,Test 1,0.06
45,FLY,SD,Trunk/Total,Test 2,0.06
46,FLY,SD,Trunk/Total,Test 3,0.05
47,FLY,SD,Trunk/Total,Test 4,0.05
48,FLY,SD,Trunk/Total,Post,0.05
49,FLY,SEM,Trunk/Total,Pre,0.02
50,FLY,SEM,Trunk/Total,Test 1,0.02
51,FLY,SEM,Trunk/Total,Test 2,0.02
52,FLY,SEM,Trunk/Total,Test 3,0.02
53,FLY,SEM,Trunk/Total,Test 4,0.02
54,FLY,SEM,Trunk/Total,Post,0.02
55,Ctrl,Mean,Legs/Total,Pre,0.35
56,Ctrl,Mean,Legs/Total,Test 1,0.35
57,Ctrl,Mean,Legs/Total,Test 2,0.35
58,Ctrl,Mean,Legs/Total,Test 3,0.35
59,Ctrl,Mean,Legs/Total,Test 4,0.35
60,Ctrl,Mean,Legs/Total,Post,0.34
61,Ctrl,SD,Legs/Total,Pre,0.05
62,Ctrl,SD,Legs/Total,Test 1,0.15
63,Ctrl,SD,Legs/Total,Test 2,0.15
64,Ctrl,SD,Legs/Total,Test 3,0.15
65,Ctrl,SD,Legs/Total,Test 4,0.15
66,Ctrl,SD,Legs/Total,Post,0.04
67,Ctrl,SEM,Legs/Total,Pre,0.02
68,Ctrl,SEM,Legs/Total,Test 1,0.04
69,Ctrl,SEM,Legs/Total,Test 2,0.04
70,Ctrl,SEM,Legs/Total,Test 3,0.04
71,Ctrl,SEM,Legs/Total,Test 4,0.04
72,Ctrl,SEM,Legs/Total,Post,0.01
73,Exer,Mean,Legs/Total,Pre,0.37
74,Exer,Mean,Legs/Total,Test 1,0.37
75,Exer,Mean,Legs/Total,Test 2,0.37
76,Exer,Mean,Legs/Total,Test 3,0.34
77,Exer,Mean,Legs/Total,Test 4,0.34
78,Exer,Mean,Legs/Total,Post,0.36
79,Exer,SD,Legs/Total,Pre,0.05
80,Exer,SD,Legs/Total,Test 1,0.05
81,Exer,SD,Legs/Total,Test 2,0.05
82,Exer,SD,Legs/Total,Test 3,0.09
83,Exer,SD,Legs/Total,Test 4,0.10
84,Exer,SD,Legs/Total,Post,0.06
85,Exer,SEM,Legs/Total,Pre,0.01
86,Exer,SEM,Legs/Total,Test 1,0.01
87,Exer,SEM,Legs/Total,Test 2,0.01
88,Exer,SEM,Legs/Total,Test 3,0.02
89,Exer,SEM,Legs/Total,Test 4,0.02
90,Exer,SEM,Legs/Total,Post,0.01
91,FLY,Mean,Legs/Total,Pre,0.35
