ID,Group,Statistic,Component,Unit,Test,Value
1,Ctrl,Mean,Tissue,g,Pre,11847.59
2,Ctrl,Mean,Tissue,g,Test 1,12057.31
3,Ctrl,Mean,Tissue,g,Test 2,12097.11
4,Ctrl,Mean,Tissue,g,Test 3,12083.10
5,Ctrl,Mean,Tissue,g,Test 4,12083.37
6,Ctrl,Mean,Tissue,g,Post,12193.46
7,Ctrl,SD,Tissue,g,Pre,1227.53
8,Ctrl,SD,Tissue,g,Test 1,5064.17
9,Ctrl,SD,Tissue,g,Test 2,5068.25
10,Ctrl,SD,Tissue,g,Test 3,5079.70
11,Ctrl,SD,Tissue,g,Test 4,5081.03
12,Ctrl,SD,Tissue,g,Post,1471.41
13,Ctrl,SEM,Tissue,g,Pre,370.11
14,Ctrl,SEM,Tissue,g,Test 1,1526.90
15,Ctrl,SEM,Tissue,g,Test 2,1528.14
16,Ctrl,SEM,Tissue,g,Test 3,1531.59
17,Ctrl,SEM,Tissue,g,Test 4,1531.99
18,Ctrl,SEM,Tissue,g,Post,443.65
19,Exer,Mean,Tissue,g,Pre,11409.02
20,Exer,Mean,Tissue,g,Test 1,11930.71
21,Exer,Mean,Tissue,g,Test 2,11960.37
22,Exer,Mean,Tissue,g,Test 3,11611.21
23,Exer,Mean,Tissue,g,Test 4,11643.01
24,Exer,Mean,Tissue,g,Post,12205.22
25,Exer,SD,Tissue,g,Pre,1686.17
26,Exer,SD,Tissue,g,Test 1,1808.11
27,Exer,SD,Tissue,g,Test 2,1840.45
28,Exer,SD,Tissue,g,Test 3,3269.61
29,Exer,SD,Tissue,g,Test 4,3284.01
30,Exer,SD,Tissue,g,Post,1871.01
31,Exer,SEM,Tissue,g,Pre,386.83
32,Exer,SEM,Tissue,g,Test 1,414.81
33,Exer,SEM,Tissue,g,Test 2,422.23
34,Exer,SEM,Tissue,g,Test 3,750.10
35,Exer,SEM,Tissue,g,Test 4,753.40
36,Exer,SEM,Tissue,g,Post,429.24
37,FLY,Mean,Tissue,g,Pre,11651.98
38,FLY,Mean,Tissue,g,Test 1,12031.54
39,FLY,Mean,Tissue,g,Test 2,11969.88
40,FLY,Mean,Tissue,g,Test 3,11940.95
41,FLY,Mean,Tissue,g,Test 4,11905.27
42,FLY,Mean,Tissue,g,Post,11959.43
43,FLY,SD,Tissue,g,Pre,2844.34
44,FLY,SD,Tissue,g,Test 1,2987.97
45,FLY,SD,Tissue,g,Test 2,2903.69
46,FLY,SD,Tissue,g,Test 3,3050.26
47,FLY,SD,Tissue,g,Test 4,2979.09
48,FLY,SD,Tissue,g,Post,3103.19
49,FLY,SEM,Tissue,g,Pre,1005.63
50,FLY,SEM,Tissue,g,Test 1,1056.41
51,FLY,SEM,Tissue,g,Test 2,1026.61
52,FLY,SEM,Tissue,g,Test 3,1078.43
53,FLY,SEM,Tissue,g,Test 4,1053.27
54,FLY,SEM,Tissue,g,Post,1097.14
55,Ctrl,Mean,Fat,g,Pre,3767.87
56,Ctrl,Mean,Fat,g,Test 1,3867.02
57,Ctrl,Mean,Fat,g,Test 2,3911.43
58,Ctrl,Mean,Fat,g,Test 3,4023.16
59,Ctrl,Mean,Fat,g,Test 4,4230.44
60,Ctrl,Mean,Fat,g,Post,4417.87
61,Ctrl,SD,Fat,g,Pre,790.85
62,Ctrl,SD,Fat,g,Test 1,1651.82
63,Ctrl,SD,Fat,g,Test 2,1669.52
64,Ctrl,SD,Fat,g,Test 3,1678.62
65,Ctrl,SD,Fat,g,Test 4,1753.48
66,Ctrl,SD,Fat,g,Post,617.91
67,Ctrl,SEM,Fat,g,Pre,238.45
68,Ctrl,SEM,Fat,g,Test 1,498.04
69,Ctrl,SEM,Fat,g,Test 2,503.38
70,Ctrl,SEM,Fat,g,Test 3,506.12
