ID,Group,Statistic,ROI,Unit,Test,Value
1,Ctrl,Mean,Femoral Left Neck,BMD g/cm²,Pre,1.06
2,Ctrl,Mean,Femoral Left Neck,BMD g/cm²,Test 1,1.05
3,Ctrl,Mean,Femoral Left Neck,BMD g/cm²,Test 2,1.04
4,Ctrl,Mean,Femoral Left Neck,BMD g/cm²,Test 3,1.04
5,Ctrl,Mean,Femoral Left Neck,BMD g/cm²,Test 4,1.04
6,Ctrl,Mean,Femoral Left Neck,BMD g/cm²,Post,1.04
7,Ctrl,SD,Femoral Left Neck,BMD g/cm²,Pre,0.11
8,Ctrl,SD,Femoral Left Neck,BMD g/cm²,Test 1,0.43
9,Ctrl,SD,Femoral Left Neck,BMD g/cm²,Test 2,0.43
10,Ctrl,SD,Femoral Left Neck,BMD g/cm²,Test 3,0.43
11,Ctrl,SD,Femoral Left Neck,BMD g/cm²,Test 4,0.43
12,Ctrl,SD,Femoral Left Neck,BMD g/cm²,Post,0.11
13,Ctrl,SEM,Femoral Left Neck,BMD g/cm²,Pre,0.03
14,Ctrl,SEM,Femoral Left Neck,BMD g/cm²,Test 1,0.13
15,Ctrl,SEM,Femoral Left Neck,BMD g/cm²,Test 2,0.13
16,Ctrl,SEM,Femoral Left Neck,BMD g/cm²,Test 3,0.13
17,Ctrl,SEM,Femoral Left Neck,BMD g/cm²,Test 4,0.13
18,Ctrl,SEM,Femoral Left Neck,BMD g/cm²,Post,0.03
19,Exer,Mean,Femoral Left Neck,BMD g/cm²,Pre,1.09
20,Exer,Mean,Femoral Left Neck,BMD g/cm²,Test 1,1.09
21,Exer,Mean,Femoral Left Neck,BMD g/cm²,Test 2,1.09
22,Exer,Mean,Femoral Left Neck,BMD g/cm²,Test 3,1.03
23,Exer,Mean,Femoral Left Neck,BMD g/cm²,Test 4,1.04
24,Exer,Mean,Femoral Left Neck,BMD g/cm²,Post,1.08
25,Exer,SD,Femoral Left Neck,BMD g/cm²,Pre,0.16
26,Exer,SD,Femoral Left Neck,BMD g/cm²,Test 1,0.16
27,Exer,SD,Femoral Left Neck,BMD g/cm²,Test 2,0.16
28,Exer,SD,Femoral Left Neck,BMD g/cm²,Test 3,0.29
29,Exer,SD,Femoral Left Neck,BMD g/cm²,Test 4,0.30
30,Exer,SD,Femoral Left Neck,BMD g/cm²,Post,0.15
31,Exer,SEM,Femoral Left Neck,BMD g/cm²,Pre,0.04
32,Exer,SEM,Femoral Left Neck,BMD g/cm²,Test 1,0.04
33,Exer,SEM,Femoral Left Neck,BMD g/cm²,Test 2,0.04
34,Exer,SEM,Femoral Left Neck,BMD g/cm²,Test 3,0.07
35,Exer,SEM,Femoral Left Neck,BMD g/cm²,Test 4,0.07
36,Exer,SEM,Femoral Left Neck,BMD g/cm²,Post,0.03
37,FLY,Mean,Femoral Left Neck,BMD g/cm²,Pre,1.07
38,FLY,Mean,Femoral Left Neck,BMD g/cm²,Test 1,1.09
