ID,Group,Statistic,Component,Unit,Test,Value
1,Ctrl,Mean,Tissue,g,Pre,35608.73
2,Ctrl,Mean,Tissue,g,Test 1,35181.63
3,Ctrl,Mean,Tissue,g,Test 2,35195.23
4,Ctrl,Mean,Tissue,g,Test 3,35244.09
5,Ctrl,Mean,Tissue,g,Test 4,35619.56
6,Ctrl,Mean,Tissue,g,Post,36001.52
7,Ctrl,SD,Tissue,g,Pre,4922.80
8,Ctrl,SD,Tissue,g,Test 1,14946.04
9,Ctrl,SD,Tissue,g,Test 2,14908.67
10,Ctrl,SD,Tissue,g,Test 3,14917.17
11,Ctrl,SD,Tissue,g,Test 4,15081.06
12,Ctrl,SD,Tissue,g,Post,4770.91
13,Ctrl,SEM,Tissue,g,Pre,1484.28
14,Ctrl,SEM,Tissue,g,Test 1,4506.40
15,Ctrl,SEM,Tissue,g,Test 2,4495.13
16,Ctrl,SEM,Tissue,g,Test 3,4497.70
17,Ctrl,SEM,Tissue,g,Test 4,4547.11
18,Ctrl,SEM,Tissue,g,Post,1438.48
19,Exer,Mean,Tissue,g,Pre,34082.08
20,Exer,Mean,Tissue,g,Test 1,34351.20
21,Exer,Mean,Tissue,g,Test 2,34095.07
22,Exer,Mean,Tissue,g,Test 3,33221.17
23,Exer,Mean,Tissue,g,Test 4,33130.53
24,Exer,Mean,Tissue,g,Post,34974.71
25,Exer,SD,Tissue,g,Pre,5518.85
26,Exer,SD,Tissue,g,Test 1,5381.65
27,Exer,SD,Tissue,g,Test 2,5257.06
28,Exer,SD,Tissue,g,Test 3,9339.29
29,Exer,SD,Tissue,g,Test 4,9474.02
30,Exer,SD,Tissue,g,Post,5525.36
31,Exer,SEM,Tissue,g,Pre,1266.11
32,Exer,SEM,Tissue,g,Test 1,1234.63
33,Exer,SEM,Tissue,g,Test 2,1206.05
34,Exer,SEM,Tissue,g,Test 3,2142.58
35,Exer,SEM,Tissue,g,Test 4,2173.49
36,Exer,SEM,Tissue,g,Post,1267.60
37,FLY,Mean,Tissue,g,Pre,35521.66
38,FLY,Mean,Tissue,g,Test 1,35567.82
39,FLY,Mean,Tissue,g,Test 2,35667.62
40,FLY,Mean,Tissue,g,Test 3,35615.77
41,FLY,Mean,Tissue,g,Test 4,35378.50
42,FLY,Mean,Tissue,g,Post,35359.26
43,FLY,SD,Tissue,g,Pre,6254.32
44,FLY,SD,Tissue,g,Test 1,6382.55
45,FLY,SD,Tissue,g,Test 2,6335.23
46,FLY,SD,Tissue,g,Test 3,6582.32
47,FLY,SD,Tissue,g,Test 4,6103.61
48,FLY,SD,Tissue,g,Post,6373.24
49,FLY,SEM,Tissue,g,Pre,2211.24
50,FLY,SEM,Tissue,g,Test 1,2256.57
51,FLY,SEM,Tissue,g,Test 2,2239.84
52,FLY,SEM,Tissue,g,Test 3,2327.20
53,FLY,SEM,Tissue,g,Test 4,2157.95
54,FLY,SEM,Tissue,g,Post,2253.28
55,Ctrl,Mean,Fat,g,Pre,9978.30
56,Ctrl,Mean,Fat,g,Test 1,9897.76
57,Ctrl,Mean,Fat,g,Test 2,9963.38
58,Ctrl,Mean,Fat,g,Test 3,10121.18
59,Ctrl,Mean,Fat,g,Test 4,10379.89
