ID,Group,Statistic,Test,Age,HT (cm),WT (kg)
1,Ctrl,Mean,PRE,37,174,77
2,Ctrl,SD,PRE,7,7,10
3,Ctrl,SEM,PRE,2.2,2.2,3.0
4,Exer,Mean,PRE,33,180,77
5,Exer,SD,PRE,7,6,10
6,Exer,SEM,PRE,1.6,1.3,2.3
7,FLY,Mean,PRE,28,177,76
8,FLY,SD,PRE,4,8,14
9,FLY,SEM,PRE,1.4,2.8,5.0
10,Ctrl,Mean,TEST 1,37,175,77
11,Ctrl,SD,TEST 1,17,71,33
12,Ctrl,SEM,TEST 1,5.0,21.4,9.9
13,Exer,Mean,TEST 1,34,180,77
14,Exer,SD,TEST 1,7,6,10
15,Exer,SEM,TEST 1,1.6,1.3,2.3
16,FLY,Mean,TEST 1,29,177,76
17,FLY,SD,TEST 1,4,8,14
18,FLY,SEM,TEST 1,1.3,2.8,5.0
19,Ctrl,Mean,TEST 2,37,175,77
20,Ctrl,SD,TEST 2,17,71,33
21,Ctrl,SEM,TEST 2,5.0,21.4,9.9
22,Exer,Mean,TEST 2,34,180,77
23,Exer,SD,TEST 2,7,6,10
24,Exer,SEM,TEST 2,1.6,1.3,2.3
25,FLY,Mean,TEST 2,29,177,76
26,FLY,SD,TEST 2,4,8,14
27,FLY,SEM,TEST 2,1.3,2.8,5.0
28,Ctrl,Mean,TEST 3,37,175,77
29,Ctrl,SD,TEST 3,17,71,33
30,Ctrl,SEM,TEST 3,5.0,21.4,9.9
31,Exer,Mean,TEST 3,32,171,73
32,Exer,SD,TEST 3,11,42,20
33,Exer,SEM,TEST 3,2.4,9.6,4.7
34,FLY,Mean,TEST 3,29,177,76
35,FLY,SD,TEST 3,4,8,14
36,FLY,SEM,TEST 3,1.3,2.8,5.0
37,Ctrl,Mean,TEST 4,37,175,77
38,Ctrl,SD,TEST 4,17,71,33
39,Ctrl,SEM,TEST 4,5.0,21.4,9.9
40,Exer,Mean,TEST 4,32,171,73
41,Exer,SD,TEST 4,11,42,20
42,Exer,SEM,TEST 4,2.4,9.6,4.7
43,FLY,Mean,TEST 4,29,177,76
44,FLY,SD,TEST 4,4,8,14
45,FLY,SEM,TEST 4,1.3,2.8,5.0
46,Ctrl,Mean,POST,37,174,41
47,Ctrl,SD,POST,7,7,40
48,Ctrl,SEM,POST,2.2,2.2,12.0
49,Exer,Mean,POST,34,180,36
50,Exer,SD,POST,7,6,40
51,Exer,SEM,POST,1.6,1.3,9.1
52,FLY,Mean,POST,29,177,0
53,FLY,SD,POST,4,8,0
54,FLY,SEM,POST,1.3,2.8,0.0
