row_id,study_id,cohort_id,campaign_name,registry_id,first_author,year,doi,source_file,design,hdt_angle_deg,duration_days,phase,timepoint_days,days_from_unloading_end,exposure_flag,arm_id,arm_type,cm_modality,cm_dose,n_arm,n_analysed,sex,pct_female,age_mean,age_sd,age_min,age_max,population,bmi_mean,body_mass_mean_kg,nutrition_controlled,muscle,muscle_function_class,is_composite,composite_of,laterality,measurement_site,outcome_type,modality,unit_original,value_baseline_original,value_followup_original,unit_si,value_baseline,value_followup,change_absolute,pct_change,variance_of,variance_type,variance_value,p_value,data_source,digitizer_tool,page_ref,extractor,extraction_date,extraction_confidence,double_extracted,qc_flag,notes
mekjavic2021__nbr_male__whole_calf__bed_rest_10__CT_CSA,mekjavic2021,planhab_br10,PlanHab-type 10-day bed rest,NA,Mekjavic,2021,10.1113/ep087834,mekjavicib122021_pubmed_00342_p10.png,horizontal_BR,NA,10,bed_rest,10,NA,analogue,nbr_male,control,none,NA,11,11,M,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,whole_calf,NA,TRUE,NA,NA,NA,CSA,CT,%,NA,NA,pct_only,NA,NA,NA,-6.2,change,SD,1.8,NA,figure_digitized,page text beside the figure,Figure 4 and surrounding text,qaragoz,2026-09-04,high,FALSE,figure_derived;value_exact_from_page_text,"the male lower-leg CSA values are printed in the prose beside Figure 4; the abstract gave only the female arm. Crossover, so arms share participants"
mekjavic2021__hbr_male__whole_calf__bed_rest_10__CT_CSA,mekjavic2021,planhab_br10,PlanHab-type 10-day bed rest,NA,Mekjavic,2021,10.1113/ep087834,mekjavicib122021_pubmed_00342_p10.png,horizontal_BR,NA,10,bed_rest,10,NA,analogue,hbr_male,control,none,normobaric hypoxia at a simulated 4000 m,11,11,M,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,whole_calf,NA,TRUE,NA,NA,NA,CSA,CT,%,NA,NA,pct_only,NA,NA,NA,-7.7,change,SD,3.3,NA,figure_digitized,page text beside the figure,Figure 4 and surrounding text,qaragoz,2026-09-04,high,FALSE,figure_derived;value_exact_from_page_text,"the male lower-leg CSA values are printed in the prose beside Figure 4; the abstract gave only the female arm. Crossover, so arms share participants"
krainski2014__br__quadriceps__bed_rest_35__MRI_volume,krainski2014,krainski_hdbr35,5-week HDBR with rowing ergometry,NA,Krainski,2014,10.1152/japplphysiol.00803.2013,krainskif12014_pubmed_00369_p6.png,HDBR_-6,-6,35,bed_rest,35,NA,analogue,br,control,none,NA,9,9,NA,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,quadriceps,NA,TRUE,NA,NA,NA,volume,MRI,%,618,NA,pct_only,618,NA,NA,-9,change,NA,NA,NA,figure_digitized,page text beside the figure,Figure 4,qaragoz,2026-09-04,medium,FALSE,figure_derived;percent_exact_from_panel_label;baseline_read_from_axis,"the percent change is printed under each panel of Figure 4 and is exact; the baseline volume is the plotted group mean read against the axis and is an estimate, carried only as context"
krainski2014__exbr__quadriceps__bed_rest_35__MRI_volume,krainski2014,krainski_hdbr35,5-week HDBR with rowing ergometry,NA,Krainski,2014,10.1152/japplphysiol.00803.2013,krainskif12014_pubmed_00369_p6.png,HDBR_-6,-6,35,bed_rest,35,NA,analogue,exbr,countermeasure,combined,rowing ergometry six days a week plus resistive strength training twice a week,18,18,NA,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,quadriceps,NA,TRUE,NA,NA,NA,volume,MRI,%,640,NA,pct_only,640,NA,NA,-5,change,NA,NA,NA,figure_digitized,page text beside the figure,Figure 4,qaragoz,2026-09-04,medium,FALSE,figure_derived;percent_exact_from_panel_label;baseline_read_from_axis,"the percent change is printed under each panel of Figure 4 and is exact; the baseline volume is the plotted group mean read against the axis and is an estimate, carried only as context"
krainski2014__br__hamstrings__bed_rest_35__MRI_volume,krainski2014,krainski_hdbr35,5-week HDBR with rowing ergometry,NA,Krainski,2014,10.1152/japplphysiol.00803.2013,krainskif12014_pubmed_00369_p6.png,HDBR_-6,-6,35,bed_rest,35,NA,analogue,br,control,none,NA,9,9,NA,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,hamstrings,NA,TRUE,NA,NA,NA,volume,MRI,%,195,NA,pct_only,195,NA,NA,-8,change,NA,NA,NA,figure_digitized,page text beside the figure,Figure 4,qaragoz,2026-09-04,medium,FALSE,figure_derived;percent_exact_from_panel_label;baseline_read_from_axis,"the percent change is printed under each panel of Figure 4 and is exact; the baseline volume is the plotted group mean read against the axis and is an estimate, carried only as context"
krainski2014__exbr__hamstrings__bed_rest_35__MRI_volume,krainski2014,krainski_hdbr35,5-week HDBR with rowing ergometry,NA,Krainski,2014,10.1152/japplphysiol.00803.2013,krainskif12014_pubmed_00369_p6.png,HDBR_-6,-6,35,bed_rest,35,NA,analogue,exbr,countermeasure,combined,rowing ergometry six days a week plus resistive strength training twice a week,18,18,NA,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,hamstrings,NA,TRUE,NA,NA,NA,volume,MRI,%,222,NA,pct_only,222,NA,NA,-7,change,NA,NA,NA,figure_digitized,page text beside the figure,Figure 4,qaragoz,2026-09-04,medium,FALSE,figure_derived;percent_exact_from_panel_label;baseline_read_from_axis,"the percent change is printed under each panel of Figure 4 and is exact; the baseline volume is the plotted group mean read against the axis and is an estimate, carried only as context"
krainski2014__br__triceps_surae__bed_rest_35__MRI_volume,krainski2014,krainski_hdbr35,5-week HDBR with rowing ergometry,NA,Krainski,2014,10.1152/japplphysiol.00803.2013,krainskif12014_pubmed_00369_p6.png,HDBR_-6,-6,35,bed_rest,35,NA,analogue,br,control,none,NA,9,9,NA,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,triceps_surae,NA,TRUE,NA,NA,NA,volume,MRI,%,362,NA,pct_only,362,NA,NA,-19,change,NA,NA,NA,figure_digitized,page text beside the figure,Figure 4,qaragoz,2026-09-04,medium,FALSE,figure_derived;percent_exact_from_panel_label;baseline_read_from_axis,"the percent change is printed under each panel of Figure 4 and is exact; the baseline volume is the plotted group mean read against the axis and is an estimate, carried only as context"
krainski2014__exbr__triceps_surae__bed_rest_35__MRI_volume,krainski2014,krainski_hdbr35,5-week HDBR with rowing ergometry,NA,Krainski,2014,10.1152/japplphysiol.00803.2013,krainskif12014_pubmed_00369_p6.png,HDBR_-6,-6,35,bed_rest,35,NA,analogue,exbr,countermeasure,combined,rowing ergometry six days a week plus resistive strength training twice a week,18,18,NA,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,triceps_surae,NA,TRUE,NA,NA,NA,volume,MRI,%,362,NA,pct_only,362,NA,NA,-14,change,NA,NA,NA,figure_digitized,page text beside the figure,Figure 4,qaragoz,2026-09-04,medium,FALSE,figure_derived;percent_exact_from_panel_label;baseline_read_from_axis,"the percent change is printed under each panel of Figure 4 and is exact; the baseline volume is the plotted group mean read against the axis and is an estimate, carried only as context"
krainski2014__br__anterior_tibial_group__bed_rest_35__MRI_volume,krainski2014,krainski_hdbr35,5-week HDBR with rowing ergometry,NA,Krainski,2014,10.1152/japplphysiol.00803.2013,krainskif12014_pubmed_00369_p6.png,HDBR_-6,-6,35,bed_rest,35,NA,analogue,br,control,none,NA,9,9,NA,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,anterior_tibial_group,NA,TRUE,NA,NA,NA,volume,MRI,%,79,NA,pct_only,79,NA,NA,-9,change,NA,NA,NA,figure_digitized,page text beside the figure,Figure 4,qaragoz,2026-09-04,medium,FALSE,figure_derived;percent_exact_from_panel_label;baseline_read_from_axis,"the percent change is printed under each panel of Figure 4 and is exact; the baseline volume is the plotted group mean read against the axis and is an estimate, carried only as context"
krainski2014__exbr__anterior_tibial_group__bed_rest_35__MRI_volume,krainski2014,krainski_hdbr35,5-week HDBR with rowing ergometry,NA,Krainski,2014,10.1152/japplphysiol.00803.2013,krainskif12014_pubmed_00369_p6.png,HDBR_-6,-6,35,bed_rest,35,NA,analogue,exbr,countermeasure,combined,rowing ergometry six days a week plus resistive strength training twice a week,18,18,NA,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,anterior_tibial_group,NA,TRUE,NA,NA,NA,volume,MRI,%,73,NA,pct_only,73,NA,NA,-5,change,NA,NA,NA,figure_digitized,page text beside the figure,Figure 4,qaragoz,2026-09-04,medium,FALSE,figure_derived;percent_exact_from_panel_label;baseline_read_from_axis,"the percent change is printed under each panel of Figure 4 and is exact; the baseline volume is the plotted group mean read against the axis and is an estimate, carried only as context"
rittweger2013__fw__whole_calf__bed_rest_89__CT_CSA,rittweger2013,medes_ltbr90,"Long Term Bed Rest (LTBR), MEDES Toulouse",NA,Rittweger,2013,10.1002/mus.23644,rittwegerj12013_pubmed_00227_p4.png,HDBR_-6,-6,90,bed_rest,89,NA,analogue,fw,countermeasure,flywheel,resistive flywheel exercise 2-3 times per week,8,8,M,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,whole_calf,NA,TRUE,NA,NA,NA,CSA,CT,%,NA,NA,pct_only,NA,NA,NA,-18.6,change,SD,3.0,NA,figure_digitized,page text beside the figure,Figure 1 and surrounding text,qaragoz,2026-09-04,high,FALSE,figure_derived;value_exact_from_page_text;pqct_reported_as_CT,the exercise arm's 18.6% loss is printed beside Figure 1; the partial table already holds the control arm's 26.6%. Same MEDES LTBR cohort as belavy2017
tanner2015__young__whole_lower_limb__bed_rest_5__DXA_lean_mass,tanner2015,tanner_br5,"5-day bed rest, young and older adults",NA,Tanner,2015,10.1113/jp270699,tannerre12015_pubmed_00386_p7.png,horizontal_BR,NA,5,bed_rest,5,NA,analogue,young,control,none,NA,14,14,NA,NA,22,1,NA,NA,healthy_young,NA,NA,NA,whole_lower_limb,NA,TRUE,NA,NA,NA,lean_mass,DXA,%,15.7,NA,pct_only,15.7,NA,NA,-0.3,change,SE,0.7,NA,figure_digitized,visual reading of rendered figure at 190 dpi,Figure 2A,qaragoz,2026-09-04,medium,FALSE,figure_derived;read_from_bar_chart;values_approximate,"percent change in leg lean mass read off Figure 2A against its axis - the bars are small and the reading is approximate. Baseline leg lean mass is printed in the text: 15.7 kg young, 13.4 kg older"
