row_id,study_id,cohort_id,campaign_name,registry_id,first_author,year,doi,source_file,design,hdt_angle_deg,duration_days,phase,timepoint_days,days_from_unloading_end,exposure_flag,arm_id,arm_type,cm_modality,cm_dose,n_arm,n_analysed,sex,pct_female,age_mean,age_sd,age_min,age_max,population,bmi_mean,body_mass_mean_kg,nutrition_controlled,muscle,muscle_function_class,is_composite,composite_of,laterality,measurement_site,outcome_type,modality,unit_original,value_baseline_original,value_followup_original,unit_si,value_baseline,value_followup,change_absolute,pct_change,variance_of,variance_type,variance_value,p_value,data_source,digitizer_tool,page_ref,extractor,extraction_date,extraction_confidence,double_extracted,qc_flag,notes
mekjavic2021__nbr__whole_calf__bed_rest_10__CT_CSA,mekjavic2021,planhab_br10,PlanHab-type 10-day bed rest,NA,Mekjavic,2021,10.1113/ep087834,mekjavicib122021_pubmed_00342.pdf,horizontal_BR,NA,10,bed_rest,10,NA,analogue,nbr,control,none,NA,12,12,F,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,whole_calf,NA,TRUE,NA,NA,NA,CSA,CT,%,NA,NA,pct_only,NA,NA,NA,-8.0,change,SD,1.6,NA,text,NA,abstract,qaragoz,2026-09-04,medium,FALSE,partial_record;female_arm_only;age_not_reported_in_abstract,"female lower-leg CSA from the abstract; the male values and every thigh value are in figures. Crossover, so the two arms share participants"
mekjavic2021__hbr__whole_calf__bed_rest_10__CT_CSA,mekjavic2021,planhab_br10,PlanHab-type 10-day bed rest,NA,Mekjavic,2021,10.1113/ep087834,mekjavicib122021_pubmed_00342.pdf,horizontal_BR,NA,10,bed_rest,10,NA,analogue,hbr,control,none,normobaric hypoxia at a simulated 4000 m,12,12,F,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,whole_calf,NA,TRUE,NA,NA,NA,CSA,CT,%,NA,NA,pct_only,NA,NA,NA,-9.9,change,SD,2.6,NA,text,NA,abstract,qaragoz,2026-09-04,medium,FALSE,partial_record;female_arm_only;age_not_reported_in_abstract,"female lower-leg CSA from the abstract; the male values and every thigh value are in figures. Crossover, so the two arms share participants"
debevec2018__nbr__whole_thigh__bed_rest_21__CT_CSA,debevec2018,planhab_br21,PlanHab 21-day bed rest,NA,Debevec,2018,10.3389/fphys.2018.00494,debevect2018_scopus_01419.xml,horizontal_BR,NA,21,bed_rest,21,NA,analogue,nbr,control,none,NA,14,14,M,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,whole_thigh,NA,TRUE,NA,NA,NA,CSA,CT,%,NA,NA,pct_only,NA,NA,NA,-6.9,change,SE,0.8,NA,text,NA,abstract,qaragoz,2026-09-04,medium,FALSE,partial_record;pqct_reported_as_CT;age_not_reported_in_abstract,"thigh muscle size from the abstract; per-muscle values are in Figure 2. Crossover, so the arms share participants. Hypoxia aggravates the loss"
debevec2018__hbr__whole_thigh__bed_rest_21__CT_CSA,debevec2018,planhab_br21,PlanHab 21-day bed rest,NA,Debevec,2018,10.3389/fphys.2018.00494,debevect2018_scopus_01419.xml,horizontal_BR,NA,21,bed_rest,21,NA,analogue,hbr,control,none,normobaric hypoxia at a simulated 4000 m,14,14,M,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,whole_thigh,NA,TRUE,NA,NA,NA,CSA,CT,%,NA,NA,pct_only,NA,NA,NA,-9.7,change,SE,1.2,NA,text,NA,abstract,qaragoz,2026-09-04,medium,FALSE,partial_record;pqct_reported_as_CT;age_not_reported_in_abstract,"thigh muscle size from the abstract; per-muscle values are in Figure 2. Crossover, so the arms share participants. Hypoxia aggravates the loss"
holt2016__ctrl__lumbar_erector_spinae__bed_rest_60__MRI_CSA__total_lumbar_paraspinal_,holt2016,wise2005,WISE-2005,NA,Holt,2016,10.1152/japplphysiol.00532.2015,holtja12016_pubmed_00310.pdf,HDBR_-6,-6,60,bed_rest,60,NA,analogue,ctrl,control,none,NA,NA,NA,F,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,lumbar_erector_spinae,NA,TRUE,NA,NA,total lumbar paraspinal muscle,CSA,MRI,%,NA,NA,pct_only,NA,NA,NA,-10.9,change,SD,3.4,NA,text,NA,abstract,qaragoz,2026-09-04,medium,FALSE,partial_record;group_size_not_in_abstract;composite_of_four_paraspinal_muscles,"total lumbar paraspinal CSA - the sum of four muscles - so it is recorded against the erector spinae term with a composite site label. Group sizes are in the full text, not the abstract"
holt2016__ex__lumbar_erector_spinae__bed_rest_60__MRI_CSA__total_lumbar_paraspinal_,holt2016,wise2005,WISE-2005,NA,Holt,2016,10.1152/japplphysiol.00532.2015,holtja12016_pubmed_00310.pdf,HDBR_-6,-6,60,bed_rest,60,NA,analogue,ex,countermeasure,combined,flywheel resistive exercise and LBNP treadmill,NA,NA,F,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,lumbar_erector_spinae,NA,TRUE,NA,NA,total lumbar paraspinal muscle,CSA,MRI,%,NA,NA,pct_only,NA,NA,NA,-4.3,change,SD,3.4,NA,text,NA,abstract,qaragoz,2026-09-04,medium,FALSE,partial_record;group_size_not_in_abstract;composite_of_four_paraspinal_muscles,"total lumbar paraspinal CSA - the sum of four muscles - so it is recorded against the erector spinae term with a composite site label. Group sizes are in the full text, not the abstract"
cavanagh2016__ex__quadriceps__bed_rest_84__MRI_volume,cavanagh2016,cavanagh_br84,84-day bed rest with individualised exercise,NA,Cavanagh,2016,10.1016/j.bonr.2016.10.001,cavanaghpr2016_scopus_01121.xml,HDBR_-6,-6,84,bed_rest,84,NA,analogue,ex,countermeasure,combined,individualised exercise prescription replacing daily load,NA,NA,NA,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,quadriceps,NA,TRUE,NA,NA,NA,volume,MRI,%,NA,NA,pct_only,NA,NA,NA,-7.2,change,SD,5.9,NA,text,NA,abstract,qaragoz,2026-09-04,medium,FALSE,partial_record;exercise_arm_only;group_size_not_in_abstract,exercise group only - the control values are truncated in the abstract and sit in a figure in the paper
cavanagh2016__ex__gastrocnemius_total__bed_rest_84__MRI_volume,cavanagh2016,cavanagh_br84,84-day bed rest with individualised exercise,NA,Cavanagh,2016,10.1016/j.bonr.2016.10.001,cavanaghpr2016_scopus_01121.xml,HDBR_-6,-6,84,bed_rest,84,NA,analogue,ex,countermeasure,combined,individualised exercise prescription replacing daily load,NA,NA,NA,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,gastrocnemius_total,NA,TRUE,NA,NA,NA,volume,MRI,%,NA,NA,pct_only,NA,NA,NA,-13.8,change,SD,6.1,NA,text,NA,abstract,qaragoz,2026-09-04,medium,FALSE,partial_record;exercise_arm_only;group_size_not_in_abstract,exercise group only - the control values are truncated in the abstract and sit in a figure in the paper
krainski2014__br__quadriceps__bed_rest_35__MRI_volume,krainski2014,krainski_hdbr35,5-week HDBR with rowing ergometry,NA,Krainski,2014,10.1152/japplphysiol.00803.2013,krainskif12014_pubmed_00369.pdf,HDBR_-6,-6,35,bed_rest,35,NA,analogue,br,control,none,NA,9,9,NA,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,quadriceps,NA,TRUE,NA,NA,NA,volume,MRI,%,NA,NA,pct_only,NA,NA,NA,-9.0,change,SD,4.0,NA,text,NA,abstract,qaragoz,2026-09-04,medium,FALSE,partial_record;muscle_group_naming_inconsistent_in_abstract,the abstract names plantar flexors for the sedentary arm and calf muscle for the exercise arm; both are recorded as printed rather than harmonised
krainski2014__br__triceps_surae__bed_rest_35__MRI_volume,krainski2014,krainski_hdbr35,5-week HDBR with rowing ergometry,NA,Krainski,2014,10.1152/japplphysiol.00803.2013,krainskif12014_pubmed_00369.pdf,HDBR_-6,-6,35,bed_rest,35,NA,analogue,br,control,none,NA,9,9,NA,NA,NA,NA,NA,NA,healthy_young,NA,NA,NA,triceps_surae,NA,TRUE,NA,NA,NA,volume,MRI,%,NA,NA,pct_only,NA,NA,NA,-19.0,change,SD,6.0,NA,text,NA,abstract,qaragoz,2026-09-04,medium,FALSE,partial_record;muscle_group_naming_inconsistent_in_abstract,the abstract names plantar flexors for the sedentary arm and calf muscle for the exercise arm; both are recorded as printed rather than harmonised
