record_id,year,first_author,doi,title,source,status,chars,muscle_tables,numeric_sentences,duration_hits,registry,modality,countermeasure
pubmed_00238,2026,Mandić M(1)(2),10.1113/ep093145,Limited musculoskeletal benefits of artificial gravity combined with cycling during bed rest: Results from the,xml,scanned,48301,1,2,60 days of anti‐orthostatic bed rest | 60 days of strict bed rest | 14 days for post‐HDT,NCT06544213,MAGNETIC RESONANCE MRI,aerobic artificial gravity centrifugal centrifugation centrifuge
scopus_00312,2026,Lagacé J.-C.,10.1113/ep093524,"Impact of 14 days of head-down bed rest and an exercise countermeasure on skeletal muscle atrophy, proteome an",xml,scanned,61144,1,4,10 day period of bed rest | 14 days of bed rest | 7 days of horizontal bed rest,NCT04964999,DXA MRI,aerobic centrifugated centrifugation centrifuged resistance exercise
pubmed_00900,2026,Lair B(1),10.1152/japplphysiol.00481.2025,Five days of physical inactivity induced by dry immersion alter skeletal muscle metabolism and whole body gluc,pdf,scanned,80502,0,1,5 days of DI or bedrest | 21 days of bedrest | 3 days of bedrest,NCT03915457,DUAL ENERGY X-RAY DUAL-ENERGY X-RAY DXA MAGNETIC RESONANCE,aerobic centrifuged cycling resistance training
scopus_00351,2026,St-Martin P.,10.1113/ep093398,Exercise during 14 days of head down tilt bedrest attenuates motor unit impairments in older humans,xml,scanned,46798,0,0,10 days of bed rest | 10 days of unilateral limb suspension | 10 days of bedrest,NCT04964999,DEXA DXA,aerobic resistance exercise resistance training resistive vibration
pubmed_00194,2026,Orlova MA(1),10.1113/jp290722,Different effects of 3-week disuse on phenotype and gene expression in calf and thigh muscles.,pdf,scanned,98513,0,9,3-week bed rest | 14 days of limb immobilization | 3 weeks of head-down,,DUAL-ENERGY X-RAY,aerobic centrifuged neuromuscular electrical stimulation protein supplementation
scopus_00324,2026,Böcker J.,10.1038/s41526-026-00611-2,Comparison of musculoskeletal responses and its variability after long-term spaceflight and prolonged bed rest,xml,scanned,60347,0,0,14 days post bed rest | 6-month spaceflight | 2-month bed rest,,COMPUTED TOMOGRAPHY CT DUAL-ENERGY X-RAY MAGNETIC RESONANCE,flywheel reactive jumps resistive vibration treadmill
pubmed_00243,2026,Sarto F(1),10.1016/j.exger.2026.113090,Changes in human multifidus muscle size with aging and short-term disuse.,pdf,scanned,54693,0,4,10-day horizontal bed rest | 10 days of horizontal bed rest | 10-day experimental bed rest,,COMPUTED TOMOGRAPHY DUAL-ENERGY X-RAY MAGNETIC RESONANCE MRI,aerobic
pubmed_00389,2026,Šimunič B(1),10.1249/mss.0000000000003986,"Alterations in Muscle Contractile Properties, Structure, and Function during 10-d Bed Rest, Postrecovery, and ",xml,scanned,45359,2,4,,,MRI ULTRASONOGRAPHY ULTRASOUND,treadmill
pubmed_00155,2025,Fuchs CJ(1),10.1002/ejsc.12299,"Quantifying Leg Muscle Disuse Atrophy During Bed Rest Using DXA, CT, and MRI.",xml,scanned,45702,1,22,2 weeks of strict bed rest | 2 weeks of bed rest | 7 Days of Immobilization,,COMPUTED TOMOGRAPHY CT DXA MAGNETIC RESONANCE,blood flow restriction leucine neuromuscular electrical stimulation
pubmed_00026,2025,Rogers KR(1),10.1152/japplphysiol.00483.2025,Muscle-specific atrophy of the lower limb musculature in response to simulated microgravity exposure in women.,pdf,scanned,36238,0,12,60 days of simulated microgravity (6 head-down | 60 days of 6 head down | 90-days of bedrest,,MAGNETIC RESONANCE MRI PQCT,aerobic resistance exercise treadmill
wos_00657,2025,Scarpelli,10.1152/physiol.2025.40.s1.2122,Endurance training as an effective strategy to counteract impairments in muscle mass and function after 10 day,missing,no full text,0,0,0,,,,
scopus_00063,2025,Bourdier P.,10.1016/j.actaastro.2025.03.029,Effect of resistive exercise combined with vibration on body composition and energy balance – Results from the,pdf,scanned,63292,0,7,21-day MNX bedrest | 21-day bedrest | 60-day head-down,,DUAL-ENERGY X-RAY DXA MAGNETIC RESONANCE,aerobic cycling flywheel resistance exercise resistance training
pubmed_00326,2025,Fuchs CJ(1),10.1113/jp286065,Daily blood flow restriction does not preserve muscle mass and strength during 2 weeks of bed rest.,xml,scanned,79129,1,20,2 weeks of limb immobilization | 2 weeks of strict bed rest | 2 weeks of bed rest,,COMPUTED TOMOGRAPHY CT DXA MAGNETIC RESONANCE,blood flow restricted blood flow restriction centrifuged leucine neuromuscular electrical stimulation
