cohort,duration_curve,jev_full,jev_generic,jev_no_reference,jev_scrambled_reference
agbresa,2.948,3.217,3.169,6.131,3.185
berlin_bbr1,4.063,3.206,3.253,7.506,4.116
berlin_bbr2,6.268,3.467,3.9,7.307,6.991
birmingham_br5_nct04422665,1.013,1.489,1.841,5.949,5.152
brace_br60,7.095,6.299,6.936,10.333,6.349
cavanagh_br84,3.3,1.82,0.77,4.18,3.43
cook_ulls30,2.931,3.7,4.578,9.225,3.08
copenhagen_br5,2.088,2.025,2.098,4.322,3.524
di5_toulouse,0.826,0.48,0.38,5.16,3.9
dlr_hdt5_crossover,1.292,1.156,1.342,6.632,6.825
drummond_br7,0.983,1.12,1.12,4.02,1.72
imbp_br21,1.57,2.11,2.04,7.32,3.63
izola_br10,3.352,3.001,3.154,7.956,6.609
izola_br14,2.088,1.733,1.887,4.52,2.42
krainski_hdbr35,3.25,2.517,2.45,5.055,2.815
liphardt_br21,5.479,5.358,5.274,4.225,4.7
lunhab_br10,0.505,0.99,0.98,3.99,2.698
maastricht_br14,0.771,1.017,0.929,4.334,3.968
maastricht_br7,0.183,0.48,0.34,6.04,3.44
maastricht_br7_feeding,2.131,1.909,2.05,6.693,2.09
mcgill_hdbr14,3.094,2.285,2.834,7.08,6.105
medes_ltbr90,6.373,4.622,5.315,6.168,6.569
nasa_br17wk,5.697,5.496,5.428,5.744,6.696
nasa_sprint_br70,5.919,2.973,3.793,4.8,5.973
nasa_utmb_c3,5.904,5.238,5.774,3.982,5.357
padova_ulls10,0.201,0.46,0.12,6.26,3.38
planhab_br10,3.78,3.91,3.77,2.62,1.21
planhab_br21,1.503,1.967,1.86,4.72,1.52
tanner_br5,1.75,1.73,1.75,4.33,7.79
valdoltra_br35,3.476,2.213,2.985,10.18,2.761
wbv_hdt14,0.946,0.986,0.892,5.733,2.203
wise2005,9.258,7.761,7.383,4.68,9.757
