cohort,rows,mean_p_true,top1,top_choice,paired_mae_gain_pp
nasa_sprint_br70,3,0.5467,0.6667,nasa_sprint,2.9458
berlin_bbr2,30,0.044,0.0,none_of_these_campaigns,2.8011
medes_ltbr90,86,0.1848,0.407,none_of_these_campaigns,1.7514
wise2005,26,0.0358,0.0,medes_long_term_bed_rest_ltbr,1.4966
berlin_bbr1,52,0.1063,0.0,none_of_these_campaigns,0.8566
brace_br60,18,0.0611,0.0,none_of_these_campaigns,0.7962
nasa_utmb_c3,4,0.0575,0.0,none_of_these_campaigns,0.6661
wbv_hdt14,8,0.3712,0.5,vibration_bed_rest_study_vbr,-0.0398
agbresa,9,0.4478,0.6667,agbresa,-0.269
planhab_br21,2,0.03,0.0,none_of_these_campaigns,-0.4632
lunhab_br10,4,0.035,0.0,none_of_these_campaigns,-0.485
