feature,folds_in_top_k,share,mean_importance
duration_saturating,29,0.90625,3.9157072510903266
muscle_family_plantar_flexors,28,0.875,1.714351786539674
arm_type_countermeasure,19,0.59375,1.0431567101792205
is_composite,17,0.53125,0.8679500858302885
modality_outcome_ultrasound_thickness,2,0.0625,0.1785380255587053
modality_outcome_MRI_CSA,1,0.03125,0.2063266473098227
muscle_family_knee_flexors,0,0.0,0.2633157965623319
muscle_family_hip_adductors,0,0.0,0.25279743061454313
modality_outcome_MRI_volume,0,0.0,0.16088759404263464
muscle_family_whole_limb,0,0.0,0.15417698881668107
modality_outcome_DXA_lean_mass,0,0.0,0.15378147476540424
muscle_family_hip_rotators,0,0.0,0.14452836817708403
muscle_family_knee_extensors,0,0.0,0.11501004270574244
muscle_family_hip_flexors,0,0.0,0.03402429334902204
muscle_family_hip_extensors,0,0.0,0.006281133128799542
muscle_family_hip_abductors,0,0.0,0.005852579465516225
modality_outcome_ultrasound_CSA,0,0.0,0.0
